=== Sniffer Log - 2026-06-15 11:22:18 ===
Interface: wlp108s0 | Filtre: aucun
[2026-06-15 10:52:02.895] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43314
[2026-06-15 10:52:02.895] TCP   | 172.20.10.5    :43314 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.896] TCP   | 172.20.10.5    :43314 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.898] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43298
[2026-06-15 10:52:02.898] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43338
[2026-06-15 10:52:02.898] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43322
[2026-06-15 10:52:02.898] TCP   | 172.20.10.5    :43298 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.898] TCP   | 172.20.10.5    :43338 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.898] TCP   | 172.20.10.5    :43322 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.898] TCP   | 172.20.10.5    :43338 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.899] TCP   | 172.20.10.5    :43322 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.899] TCP   | 172.20.10.5    :43298 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.922] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.922] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.935] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.935] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.940] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.940] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.976] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43348
[2026-06-15 10:52:02.981] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43348
[2026-06-15 10:52:02.986] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43348
[2026-06-15 10:52:02.986] TCP   | 172.20.10.5    :43348 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.987] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43356
[2026-06-15 10:52:02.987] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43356
[2026-06-15 10:52:02.987] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43356
[2026-06-15 10:52:02.987] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43356
[2026-06-15 10:52:02.987] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43348
[2026-06-15 10:52:02.987] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43348
[2026-06-15 10:52:02.987] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.987] TCP   | 172.20.10.5    :43348 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.987] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.987] TCP   | 172.20.10.5    :43348 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.989] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.990] TCP   | 172.20.10.5    :43348 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.990] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.990] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.990] TCP   | 172.20.10.5    :43348 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.991] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.991] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.001] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43338
[2026-06-15 10:52:03.001] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43338
[2026-06-15 10:52:03.001] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43338
[2026-06-15 10:52:03.002] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43314
[2026-06-15 10:52:03.002] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43314
[2026-06-15 10:52:03.002] TCP   | 172.20.10.5    :43338 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.003] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43298
[2026-06-15 10:52:03.003] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43338
[2026-06-15 10:52:03.003] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43298
[2026-06-15 10:52:03.003] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43338
[2026-06-15 10:52:03.003] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43322
[2026-06-15 10:52:03.003] TCP   | 172.20.10.5    :43298 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.003] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43314
[2026-06-15 10:52:03.003] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43314
[2026-06-15 10:52:03.003] TCP   | 172.20.10.5    :43338 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.003] TCP   | 172.20.10.5    :43314 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.003] TCP   | 172.20.10.5    :43338 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.003] TCP   | 172.20.10.5    :43314 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.005] TCP   | 172.20.10.5    :43338 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.005] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43298
[2026-06-15 10:52:03.005] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43322
[2026-06-15 10:52:03.005] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43298
[2026-06-15 10:52:03.005] TCP   | 172.20.10.5    :43298 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.005] TCP   | 172.20.10.5    :43322 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.005] TCP   | 172.20.10.5    :43298 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.006] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43322
[2026-06-15 10:52:03.006] TCP   | 172.20.10.5    :43322 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.007] TCP   | 172.20.10.5    :43314 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.007] TCP   | 172.20.10.5    :43338 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.009] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.009] TCP   | 172.20.10.5    :43314 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.010] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.011] TCP   | 172.20.10.5    :43298 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.011] TCP   | 172.20.10.5    :43298 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.011] TCP   | 172.20.10.5    :43356 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.027] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:03.027] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.028] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.028] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.032] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:03.032] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.052] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:03.052] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:03.052] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.052] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:03.053] TCP   | 34.107.221.82  :80    -> 172.20.10.5    :34482
[2026-06-15 10:52:03.081] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43348
